date,language,type,title,by,overall,quality,repeatability
20-Jul-23,English,series,Designated Survivor S03E01,Kiefer Sutherland,3,3,1
18-Jul-23,English,movie,White House Down,"Channing Tatum, Jamie Foxx",3,3,2
15-Jul-23,English,movie,John Wick,Keanu Reeves,3,3,1
15-Jul-23,English,movie,Top Gun: Maverick,Tom Cruise,3,4,1
15-Jul-23,English,movie,Dungeons and Dragons: Honor Among Thieves,Chris Pine,2,3,1
02-Jul-23,Telugu,movie,Virupaksha,"Sai Dharam Tej, Samyuktha Menon",2,2,1
29-Jun-23,English,movie,Spy,Melissa McCarthy,3,3,1
25-Jun-23,English,TV series,The Queen's Gambit,,3,3,1
25-Jun-23,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3,4,2
21-Jun-23,Tamil,movie,Thillu Mullu,"K Balachandar, Rajnikanth",5,4,3
18-Jun-23,English,movie,The Proposal,"Ryan Reynolds, Sandra Bullock",2,2,1
18-Jun-23,Chinese,movie,Ip Man 3,Donnie Yen,3,4,1
17-Jun-23,Tamil,movie,Kaappaan,"Surya, Mohanlal, Arya",3,4,1
16-Jun-23,English,TV series,American Born Chinese,,3,3,1
15-Jun-23,Telugu,movie,Waltair Veeraiyya,"Chiranjeevi, Ravi Teja",2,3,1
12-Jun-23,Tamil,movie,Kalaga Thalaivan,"Udhayanidhi Stalin, Aarav",4,4,1
11-Jun-23,English,movie,Ant Man and the Wasp: Quantumania,"Paul Rudd, Michael Douglas, Michelle Pfieffer",3,4,1
11-Jun-23,Tamil,movie,Theerkadarishi,"Sathyaraj, Ajmal Ameer",3,4,1
09-Jun-23,Telugu,movie,Nenu Sailaja,"Ram Pothineni, Keerthi Suresh",3,3,2
25-May-23,English,series,The Mentalist: Season 1,"Simon Baker, Robin Tunney",3,3,1
22-May-23,Tamil,movie,Ponniyin Selvan 2,"Mani Ratnam, Karthi, Jayam Ravi, Vikram",4,4,2
20-May-23,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3,4,2
16-May-23,Hindi,movie,Tu Jhoothi Main Makkaar,"Ranbir Kapoor, Shraddha Kapoor",3,3,1
12-May-23,Hindi,movie,Ginny Weds Sunny,"Vikrant Massey, Yami Gautam",3,3,1
11-May-23,Telugu,movie,Srinivasa Kalyanam,"Nitin,  Rashi Khanna",2,3,1
09-May-23,Telugu,movie,Bruce Lee The Real Hero,"Ram Charan Teja, Rakul Preet Singh",2,3,1
07-May-23,Telugu,movie,Govindudu Andarivadele,"Ram Charan Teja, Kajal Aggarwal",2,2,2
06-May-23,English,series,India: The Modi Question,Narendra Modi,4,4,1
06-May-23,Tamil,movie,Something Something Unakkum Enakkum,"Jayam Ravi, Trisha",4,4,2
03-May-23,Tamil,movie,Pathu Thala,"Gautam Karthik, Silambarasan",3,3,1
29-Apr-23,English,movie,Moneyball,Brad Pitt,4,4,1
27-Apr-23,Tamil,movie,Sarbath,Kathir,3,3,1
24-Apr-23,Telugu,movie,Hyper,"Ram Pothineni, Rashi Khanna",2,2,1
22-Apr-23,Tamil,movie,Agilan,Jayam Ravi,1,2,1
16-Apr-23,Tamil,movie,Kannai Nambathey,"Udhayanidhi Stalin, Prasanna, Srikanth, Bhumika Chawla",3,4,1
14-Apr-23,Tamil,movie,Sinam,Arun Vijay,2,2,1
10-Apr-23,Telugu,movie,Hello Guru Prema Kosam,"Ram, Prakash Raj",2,3,1
08-Apr-23,English,TV series,Picard: Season 2,Patrick Stewart,3,4,1
06-Apr-23,English,TV series,Picard: Season 1,Patrick Stewart,3,4,1
05-Apr-23,Tamil,movie,Raman Thediya Seethai,Cheran,4,4,2
04-Apr-23,Tamil,movie,Kanda Naal Mudhal,"Prasanna, Laila",4,4,3
02-Apr-23,Tamil,movie,Vendhu Thanindhathu Kaadu,Simbu,3,4,1
01-Apr-23,Hindi,movie,Pathaan,"Shah Rukh Khan, Deepika Padukone, John Abraham",2,3,1
28-Mar-23,Tamil,movie,Rocketry - The Nambi Effect,"R Madhavan, Surya",3,4,1
26-Mar-23,Tamil,movie,555,Bharath,3,3,1
25-Mar-23,Tamil,movie,Yaanai,Arun Vijay,3,3,1
22-Mar-23,English,movie,Spiderman:  Homecoming,Tom Holland,3,4,2
22-Mar-23,Tamil,movie,Pichaikkaran,Vijay Antony,3,3,2
17-Mar-23,English,movie,The Amazing Spiderman,"Andrew Garfield, Gwen Stacy",2,3,1
17-Mar-23,Tamil,movie,Vathi,Dhanush,3,3,1
17-Mar-23,Hindi,movie,Dilwale,"Shahrukh Khan, Kajol",3,3,1
11-Mar-23,English,movie,Whiplash,JK Simmons,4,4,1
07-Mar-23,English,series,Agents of S.H.I.E.L.D. Season 1,,3,3,1
26-Feb-23,Tamil,movie,Vaarisu,Vijay,2,3,1
20-Feb-23,Tamil,movie,Trigger,Atharva,3,3,1
19-Feb-23,Tamil,movie,Sardar,"Karthi, Chunkey Pandey",3,3,1
18-Feb-23,Hindi,movie,An Action Hero,Ayushmann Khurana,3,4,1
13-Feb-23,Telugu,movie,Raja The Great,"Ravi Teja, Mehreen Pirzada",3,3,1
12-Feb-23,Hindi,TV series,Farzi,"Shahid Kapoor, Vijay Sethupathi",3,4,1
11-Feb-23,Telugu,movie,Monster,"Mohanlal, Honey Rose",3,3,1
10-Feb-23,Tamil,movie,Thunivu,"Ajit, Manju Warrier",3,4,1
07-Feb-23,Tamil,movie,Manaadu,"Silambarasan, SJ Suryah",4,4,1
06-Feb-23,Telugu,movie,Ramarao On Duty,Ravi Teja,3,3,1
05-Feb-23,Tamil,movie,Diary,Arulnithi,3,4,1
04-Feb-23,English,movie,Wakanda Forever,,3,4,1
28-Jan-23,Tamil,movie,Laththi Charge,Vishal,3,3,1
22-Jan-23,Tamil,movie,Nitham Oru Vaanam,"Ashok Selvan, Ritu Verma",3,3,1
21-Jan-23,English,movie,Icarus,"Brian Fogel, Grigory Rodchenkov",3,4,1
21-Jan-23,Tamil,series,Vadhandhi,"SJ Surya, Laila, Nasser",4,4,1
19-Jan-23,Tamil,movie,Jagame Thandhiram,"Dhanush, Karthik Subbaraj",3,3,1
18-Jan-23,Tamil,movie,Don,Sivakarthikeyan,4,4,2
15-Jan-23,English,movie,Oblivion,"Tom Cruise, Morgan Freeman",3,3,1
10-Jan-23,Tamil,movie,Adanga Maru,Jayam Ravi,3,3,1
07-Jan-23,Telugu,movie,HIT: The Second Case,Adivi Sesh,4,4,1
06-Jan-23,Telugu,movie,Courier Boy Kalyan,Nitin,2,3,1
05-Jan-23,Tamil,movie,DSP,Vijay Sethupathi,2,2,1
03-Jan-23,Tamil,movie,Coffee with Kadhal,"Jeeva, DD",3,3,1
31-Dec-22,Tamil,movie,Love Today,"Pradeep Ranganathan, Ivana",3,4,1
25-Dec-22,Tamil,movie,Thamarai Nenjam,"Saroja Devi, Nagesh, K Balachander",4,4,1
23-Dec-22,Chinese,movie,Ip Man 2,Donnie Yen,4,4,1
22-Dec-22,Tamil,movie,Viruman,"Karthi, Prakash Raj",2,3,1
21-Dec-22,English,movie,Tag,Jeremy Renner,3,3,1
19-Dec-22,Tamil,movie,Kalaga Thalaivan,"Udhayanidhi Stalin, Aarav",4,4,1
17-Dec-22,Hindi,movie,Brahmastra,"Ranbir Kapoor, Alia Bhatt",3,3,1
16-Dec-22,Telugu,movie,Macherla Niyojakavargam,Nitin,2,2,1
11-Dec-22,English,TV series,Ms Marvel,,3,4,1
02-Dec-22,English,movie,A Good Day to Die Hard,Bruce Willis,2,3,1
01-Dec-22,Tamil,movie,Beast,"Vijay, Pooja Hegde",3,3,2
28-Nov-22,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3,4,2
26-Nov-22,Tamil,movie,Echcharikkai,Sathyaraj,3,4,1
20-Nov-22,English,TV series,She-Hulk,,2,3,1
13-Nov-22,Hindi,movie,Tadka,"Nana Patekar, Shriya Sharan",3,3,1
03-Nov-22,Telugu,movie,Thank You,"Naga Chaitanya, Rashi Khanna",3,3,1
31-Oct-22,English,movie,The Contractor,Chris Pine,3,3,1
16-Oct-22,Telugu,movie,Bahubali,"Prabhas, Tamanna",3,4,2
11-Oct-22,Tamil,movie,Ponniyin Selvan,"Mani Ratnam, Karthi, Jayam Ravi, Vikram",3,4,1
07-Oct-22,Telugu,movie,Liger,Vijay Devarakonda,2,3,1
05-Oct-22,Tamil,movie,Cobra,Vikram,3,3,1
02-Oct-22,Tamil,movie,Kavan,"Vijay Sethupathi, Madonna Sebastian",3,4,2
30-Sep-22,Tamil,movie,Thiruchitrambalam,"Dhanush, Nithya Menon",3,4,1
29-Sep-22,English,TV series,Moon Knight,,3,3,1
26-Sep-22,English,TV series,What If…?,,3,4,1
21-Sep-22,English,TV series,Hawkeye,,3,3,1
18-Sep-22,English,TV series,WandaVision,,3,3,1
17-Sep-22,English,TV series,Loki,,3,4,1
14-Sep-22,Tamil,movie,Doctor,Sivakarthikeyan,3,3,2
11-Sep-22,English,movie,Thor: Love and Thunder,,3,3,1
10-Sep-22,English,movie,The Gray Man,"Ryan Gosling, Chris Evans, Dhanush",3,4,1
07-Sep-22,English,movie,The Hobbit: The Battle of the Five Armies,"Peter Jackson, Ian McKellan, Martin Freeman",4,4,2
05-Sep-22,English,movie,The Hobbit: The Desolation of Smaug,"Peter Jackson, Ian McKellan, Martin Freeman",3,4,2
04-Sep-22,English,movie,The Hobbit: An Unexpected Journey,"Peter Jackson, Ian McKellan, Martin Freeman",3,4,2
31-Aug-22,Tamil,TV series,Suzhal,"Pushkar, Gayathri, Kathir",4,4,1
27-Aug-22,Hindi,movie,Jab Harry Met Sejal,"Shah Rukh Khan, Anushka Sharma",3,3,1
25-Aug-22,Hindi,movie,HIT: The First Case,Rajkummar Rao,3,3,1
23-Aug-22,Telugu,movie,Major,"Adivi Sesh, Prakash Raj",3,3,1
20-Aug-22,English,movie,Ant-Man and the Wasp,"Paul Rudd, Michael Douglas",3,3,1
19-Aug-22,English,movie,Thor,"Chris Hemsworth, Natalie Portman",2,2,1
18-Aug-22,English,movie,Thor: The Dark World,"Chris Hemsworth, Natalie Portman",3,3,2
16-Aug-22,English,movie,The Avengers,"Robert Downey Jr, Chris Evans, Samuel Jackson",4,4,2
14-Aug-22,English,movie,Avengers: Age of Ultron,"Robert Downey Jr, Chris Evans, Samuel Jackson",3,3,1
14-Aug-22,English,movie,Captain America: The Winter Soldier,"Chris Evans, Scarlett Johannson",3,3,2
13-Aug-22,Hindi,movie,Shaandar,"Shahid Kapoor, Alia Bhat",2,3,1
10-Aug-22,English,movie,Spiderman:  Homecoming,Tom Holland,3,4,2
07-Aug-22,Tamil,movie,Petta,Rajnikanth,3,3,2
31-Jul-22,English,movie,Fantastic Beasts: The Secrets of Dumbledore,"David Yates, Jude Law",3,4,2
28-Jul-22,English,movie,Marry Me,"Jennifer Lopez, Owen Wilson",3,3,1
27-Jul-22,English,movie,Infinite,Mark Walhberg,2,3,1
25-Jul-22,English,movie,Wrath of Man,"Jason Statham, Guy Ritchie",3,3,1
23-Jul-22,Telugu,movie,Godse,"Satya Dev, Aishwarya Lekshmi",3,3,1
16-Jul-22,Hindi,movie,Runway 34,"Ajay Devgan, Amitabh Bachchan",3,3,1
15-Jul-22,Malayalam,movie,Oru CBI Diary Kurippu,Mammootty,3,3,1
12-Jul-22,Telugu,movie,Ante Sundaraniki,"Nani, Nazriya Nazim",3,3,1
10-Jul-22,Tamil,movie,Vikram,"Kamal Hassan, Fahaad Fazil, Vijay Sethupathi",3,4,2
09-Jul-22,Telugu,movie,Sarkaru Vaari Pataa,"Mahesh Babu, Samuthrakani, Keerthi Suresh",2,3,1
07-Jul-22,Tamil,movie,Manmadan Ambu,"Kamal Hassan, Madhavan, Trisha",4,4,2
03-Jul-22,English,movie,Dr Strange in the Multiverse of Madness,Benedict Cumberbatch,3,4,1
02-Jul-22,Telugu,movie,Raja Vikramarka,"Karthikeya Gummakonda, Tanya Ravichandran",3,3,1
30-Jun-22,Hindi,movie,Judwaa 2,Varun Dhawan,2,2,1
29-Jun-22,Hindi,movie,Katti Batti,"Imran Khan, Kangana Ranaut",3,3,1
28-Jun-22,English,movie,S.W.A.T.: Under Siege,,3,3,1
26-Jun-22,Hindi,movie,Jab We Met,"Shahid Kapoor, Kareena Kapoor",4,4,3
25-Jun-22,English,movie,S.W.A.T.: Firefight,Gabriel Macht,2,3,1
23-Jun-22,Hindi,movie,Mubarakan,"Arjun Kapoor, Anil Kapoor",3,3,1
18-Jun-22,Hindi,movie,Dil To Pagal Hai,"Shah Rukh Khan, Madhuri Dixit",3,3,2
14-Jun-22,Tamil,movie,Idhu Namma Aalu,"Bhagyaraj, Shobana",3,4,2
11-Jun-22,Tamil,movie,Don,Sivakarthikeyan,3,3,1
10-Jun-22,Hindi,movie,Zindagi Na Milegi Dobara,"Hrithik Roshan, Farhan Akthar, Abhay Deol, Katrina Kaif",3,4,1
08-Jun-22,Hindi,movie,October,"Shoojit Sircar, Varun Dhawan",3,4,1
08-Jun-22,Hindi,movie,Chandigarh Kare Aashiqui,"Ayushmann Khurana, Vani Kapoor",3,3,2
04-Jun-22,Hindi,movie,Anari,"Hrishikesh Mukherji, Raj Kapoor, Nutan",4,4,2
03-Jun-22,Hindi,movie,Khoobsurat,"Hrishikesh Mukherji, Rekha",3,4,2
28-May-22,Hindi,movie,83,"Ranveer Singh, Jeeva, Deepika Padukone",4,4,2
24-May-22,English,movie,The Map of Tiny Perfect Things,"Kathryn Newton, Kyle Allen",3,3,1
20-May-22,English,movie,Inside Man,"Denzel Washington, Jodie Foster",5,5,2
19-May-22,Telugu,movie,Fidaa,"Shekar Kammula, Varun Tej, Sai Pallavi",5,5,2
18-May-22,Telugu,movie,Radhe Shyam,"Prabhas, Pooja Hegde",2,2,1
16-May-22,Tamil,movie,Hey Sinamika,"Dulqeer Salman, Aditi Hydari, Kajal Aggarwal",3,4,1
15-May-22,Telugu,movie,Manmadhudu 2,"Nagarjuna, Rakul Preet Singh",3,3,2
14-May-22,Tamil,movie,Beast,"Vijay, Pooja Hegde",3,3,2
13-May-22,Tamil,movie,Yaaradi Nee Mohini,"Dhanush, Nayantara",3,3,2
23-Apr-22,Tamil,movie,Sarpatta Parambarai,Arya,3,3,1
20-Apr-22,Malayalam,movie,Bheeshma Parvam,Mammootty,2,3,1
19-Apr-22,Hindi,movie,Shiddat,"Sunny Kaushal, Radhika Madan",3,4,1
18-Apr-22,Telugu,movie,Varudu Kaavalenu,"Naga Shourya, Ritu Varma",3,3,1
17-Apr-22,Tamil,movie,Thamizh Padam 2,Shiva,3,3,2
16-Apr-22,Telugu,movie,Super Machi,"Kalyaan Dev, Rachita Ram",2,2,1
16-Apr-22,Telugu,movie,Aadavallu Meeku Joharlu,"Sharwanand, Rashmika",3,3,1
15-Apr-22,Telugu,movie,Gaddalakonda Ganesh,"Varun Tej, Atharvaa",3,3,1
12-Apr-22,English,movie,About Time,"Rachel MacAdams, Domhnall Gleeson",3,3,2
10-Apr-22,Malayalam,movie,Minnal Murali,Tovino Thomas,3,3,1
10-Apr-22,Malayalam,movie,Salute,Dulqeer Salman,3,4,1
10-Apr-22,Telugu,movie,Bheemla Nayak,"Pawan Kalyan, Rana Dagubatti",3,3,1
09-Apr-22,Telugu,movie,RRR,"Ram Charan Teja, Jr NTR",4,4,1
09-Apr-22,English,movie,Zodiac,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr",3,3,1
08-Apr-22,English,movie,Black Widow,Scarlett Johansson,3,3,1
06-Apr-22,English,TV series,Taken: Season 2,,3,3,1
03-Apr-22,English,movie,Looper,"Joseph Gordon-Levitt, Bruce Willis",3,3,1
01-Apr-22,English,TV series,Taken: Season 1,,3,3,1
29-Mar-22,English,movie,Free Guy,"Ryan Reynolds, Jodie Comer",3,4,1
28-Mar-22,English,movie,Dune,"Timothée Chalamet, Rebecca Ferguson, Zendaya",3,3,1
28-Mar-22,English,movie,The Adam Project,"Ryan Reynolds, Mark Ruffalo",3,3,1
27-Mar-22,Tamil,movie,Valimai,"Ajith, Kartikeya Gummakonda",3,4,1
27-Mar-22,Telugu,movie,Sagara Sangaman,"K. Viswanath, Kamal Hassan, Jayapradha",5,5,3
25-Mar-22,Hindi,movie,83,"Ranveer Singh, Jeeva, Deepika Padukone",4,4,2
24-Mar-22,Hindi,movie,Shubh Mangal Saavdhan,"Ayushmann Khurana, Bhumi Pednekar",3,3,1
21-Mar-22,Hindi,movie,Dum Laga Ke Haisha,"Ayushmann Khurana, Bhumi Pednekar",3,3,1
18-Mar-22,Hindi,movie,Badhaai Do,"Rajkummar Rao, Bhumi Pednekar",3,4,1
18-Mar-22,Telugu,movie,Geeta Govindam,"Vijay Devarakonda, Rashmika",4,4,2
14-Mar-22,Tamil,movie,Maaran,Dhanush,3,3,1
08-Mar-22,Tamil,movie,Veerame Vaagai Soodum,"Vishal, Dimple Hayathi",3,3,1
07-Mar-22,Tamil,movie,Enemy,"Vishal, Arya",3,3,1
05-Mar-22,English,movie,Green Book,"Mahershala Ali, Viggo Mortensen",3,4,1
04-Mar-22,Hindi,movie,Manmarziyaan,"Tapsee Pannu, Abhishek Bachchan",3,4,1
27-Feb-22,Malayalam,movie,Bro Daddy,"Mohanlal, Prithviraj",3,3,1
27-Feb-22,Tamil,movie,Mahaan,"Vikram, Bobby Simha, Dhruv Vikram",3,4,1
22-Feb-22,English,movie,Venom: Let There Be Carnage,Tom Hardy,3,3,1
20-Feb-22,Telugu,movie,Ram Asur,"Abhinav Sardhar, Ram Karthik",2,2,1
20-Feb-22,English,movie,The Man From U.N.C.L.E,"Henry Cavill, Hugh Grant",3,3,1
19-Feb-22,English,movie,Spider-Man: No Way Home,"Tom Holland, Benedict Cumberbatch",3,4,1
19-Feb-22,English,movie,Mr Right,"Sam Rockwell, Anna Kendrick",3,4,2
16-Feb-22,Hindi,movie,Tanu Weds Manu,"Madhavan, Kangana Ranaut",4,4,2
13-Feb-22,Telugu,movie,Good Luck Sakhi,"Keerthi Suresh, Jagapathy Babu, Adhi Pinisetty",3,3,1
13-Feb-22,Hindi,movie,Flight,Mohit Chadda,2,2,1
13-Feb-22,English,TV series,Reacher,Alan Richtson,3,3,1
02-Feb-22,Telugu,movie,Kalyana Vaibhogame,"Naga Shaurya, Malavika Nair",3,3,1
01-Feb-22,Telugu,movie,Oh Baby,Samantha,4,4,2
01-Feb-22,Hindi,movie,Badhaai Ho,Ayushmann Khurana,3,3,1
31-Jan-22,Tamil,movie,Manaadu,"Silambarasan, SJ Suryah",4,4,1
30-Jan-22,Hindi,TV series,Scam 1992,,4,4,1
29-Jan-22,Hindi,movie,Gangs of Wasseypur 2,"Nawazuddin Siddique, Huma Qureshi",4,4,1
28-Jan-22,Hindi,movie,Gangs of Wasseypur 1,"Anurag Kashyap, Manoj Bajpai",3,3,1
27-Jan-22,English,movie,Just Mercy,"Michael B Jordan, Jamie Foxx",3,4,1
27-Jan-22,Hindi,movie,420 IPC,"Vinay Pathak, Ranveer Shorey",3,3,1
26-Jan-22,Hindi,movie,Kesari,Akshay Kumar,3,4,1
26-Jan-22,English,movie,Project Power,"Jamie Foxx, Joseph Gordon-Levitt",3,3,1
26-Jan-22,English,movie,Django Unchained,Jamie Foxx,3,4,1
24-Jan-22,Hindi,movie,Panchayat,,3,3,1
23-Jan-22,Hindi,movie,Manorama: Six Feet Under,"Abhay Deol, Raima Sen, Kulbhushan Kharbanda",3,4,1
22-Jan-22,Telugu,movie,Shyam Singha Roy,"Nani, Sai Pallavi",3,3,1
21-Jan-22,Tamil,movie,Thuparivalan,"Mysskin, Vishal, Prasanna",3,4,1
15-Jan-22,English,movie,Catch Me If You Can,"Steven Spielberg, Tom Hanks, Leonardo DiCaprio",4,4,2
14-Jan-22,English,movie,Eternals,"Angelina Jolie, Gemma Chan",3,3,2
02-Jan-22,Hindi,movie,Atrangi Re,"Dhanush, Sara Ali Khan, Akshay Khanna",4,4,2
28-Dec-21,Telugu,movie,Bheeshma,"Nitin, Rashmika",2,3,1
27-Dec-21,English,movie,Mercury Rising,Bruce Willis,3,3,1
26-Dec-21,English,movie,Hunter Killer,Gerard Butler,3,4,1
25-Dec-21,English,movie,After the Sunset,"Pierce Brosnan, Woody Harrelson, Salma Hayek",3,3,1
